doc_key,anaphor_idx,anaphor_start,anaphor_end,antecedent_idx,antecedent_start,antecedent_end,cluster_id
mz/sinorama/10/ectb_1009_3,0,2,2,-1,-1,-1,1
mz/sinorama/10/ectb_1009_3,1,3,3,0,2,2,1
mz/sinorama/10/ectb_1009_3,2,16,18,-1,-1,-1,2
mz/sinorama/10/ectb_1009_3,3,25,38,-1,-1,-1,4
mz/sinorama/10/ectb_1009_3,4,29,36,-1,-1,-1,3
mz/sinorama/10/ectb_1009_3,5,40,41,3,25,38,4
mz/sinorama/10/ectb_1009_3,6,46,48,2,16,18,2
mz/sinorama/10/ectb_1009_3,7,50,50,-1,-1,-1,5
mz/sinorama/10/ectb_1009_3,8,67,67,5,40,41,4
mz/sinorama/10/ectb_1009_3,9,70,70,-1,-1,-1,6
mz/sinorama/10/ectb_1009_3,10,76,77,-1,-1,-1,7
mz/sinorama/10/ectb_1009_3,11,87,89,8,67,67,4
mz/sinorama/10/ectb_1009_3,12,119,119,11,87,89,4
mz/sinorama/10/ectb_1009_3,13,126,128,12,119,119,4
mz/sinorama/10/ectb_1009_3,14,133,135,6,46,48,2
mz/sinorama/10/ectb_1009_3,15,141,141,7,50,50,5
mz/sinorama/10/ectb_1009_3,16,143,143,13,126,128,4
mz/sinorama/10/ectb_1009_3,17,155,159,16,143,143,4
mz/sinorama/10/ectb_1009_3,18,162,167,4,29,36,3
mz/sinorama/10/ectb_1009_3,19,171,171,17,155,159,4
mz/sinorama/10/ectb_1009_3,20,171,175,-1,-1,-1,9
mz/sinorama/10/ectb_1009_3,21,175,175,-1,-1,-1,8
mz/sinorama/10/ectb_1009_3,22,183,185,19,171,171,4
mz/sinorama/10/ectb_1009_3,23,191,191,21,175,175,8
mz/sinorama/10/ectb_1009_3,24,198,198,10,76,77,7
mz/sinorama/10/ectb_1009_3,25,216,217,24,198,198,7
mz/sinorama/10/ectb_1009_3,26,229,231,20,171,175,9
mz/sinorama/10/ectb_1009_3,27,245,246,18,162,167,3
mz/sinorama/10/ectb_1009_3,28,248,271,-1,-1,-1,10
mz/sinorama/10/ectb_1009_3,29,278,278,28,248,271,10
mz/sinorama/10/ectb_1009_3,30,283,283,9,70,70,6
mz/sinorama/10/ectb_1009_3,31,287,287,29,278,278,10
mz/sinorama/10/ectb_1009_3,32,291,293,14,133,135,2
mz/sinorama/10/ectb_1009_3,33,297,298,31,287,287,10
mz/sinorama/10/ectb_1009_3,34,304,306,32,291,293,2
mz/sinorama/10/ectb_1009_3,35,348,348,33,297,298,10
mz/sinorama/10/ectb_1009_3,36,363,363,35,348,348,10
mz/sinorama/10/ectb_1009_3,37,381,384,36,363,363,10
mz/sinorama/10/ectb_1009_3,38,395,396,25,216,217,7
mz/sinorama/10/ectb_1009_3,39,401,401,23,191,191,8
mz/sinorama/10/ectb_1009_3,40,421,423,34,304,306,2
mz/sinorama/10/ectb_1009_3,41,426,426,40,421,423,2
mz/sinorama/10/ectb_1009_3,42,433,433,39,401,401,8
mz/sinorama/10/ectb_1009_3,43,452,454,41,426,426,2
mz/sinorama/10/ectb_1009_3,44,467,467,42,433,433,8
mz/sinorama/10/ectb_1009_3,45,521,533,-1,-1,-1,11
mz/sinorama/10/ectb_1009_3,46,528,532,43,452,454,2
mz/sinorama/10/ectb_1009_3,47,540,541,45,521,533,11
mz/sinorama/10/ectb_1009_3,48,559,559,47,540,541,11
mz/sinorama/10/ectb_1009_3,49,568,569,27,245,246,3
