doc_key, span_idx, span_start, span_end, antecedent_rank, antecedent_score, antecedent_idx, antecedent_start, antecedent_end
nw/xinhua/01/chtb_0179_0, 13, 24, 24, 1, 15.861726760864258, 5, 7, 8
nw/xinhua/01/chtb_0179_0, 24, 51, 54, 1, 49.611297607421875, 8, 15, 27
nw/xinhua/01/chtb_0179_0, 24, 51, 54, 2, 23.205236434936523, 9, 15, 28
nw/xinhua/01/chtb_0179_0, 24, 51, 54, 3, 10.965239524841309, 10, 15, 29
nw/xinhua/01/chtb_0179_0, 28, 60, 66, 1, 47.53123474121094, 8, 15, 27
nw/xinhua/01/chtb_0179_0, 28, 60, 66, 2, 44.271751403808594, 24, 51, 54
nw/xinhua/01/chtb_0179_0, 28, 60, 66, 3, 18.749788284301758, 9, 15, 28
nw/xinhua/01/chtb_0179_0, 28, 60, 66, 4, 3.598196506500244, 23, 45, 54
nw/xinhua/01/chtb_0179_0, 28, 60, 66, 5, 3.1513662338256836, 10, 15, 29
nw/xinhua/01/chtb_0179_0, 35, 79, 81, 1, 27.10853385925293, 16, 32, 43
nw/xinhua/01/chtb_0179_0, 35, 79, 81, 2, 11.039315223693848, 18, 37, 38
nw/xinhua/01/chtb_0179_0, 41, 92, 96, 1, 14.420684814453125, 0, 1, 5
nw/xinhua/01/chtb_0179_0, 44, 101, 105, 1, 9.786338806152344, 17, 33, 36
nw/xinhua/01/chtb_0179_0, 48, 108, 112, 1, 10.544888496398926, 35, 79, 81
nw/xinhua/01/chtb_0179_0, 50, 112, 112, 1, 61.0004768371582, 19, 39, 39
nw/xinhua/01/chtb_0179_0, 55, 123, 124, 1, 28.14873504638672, 35, 79, 81
nw/xinhua/01/chtb_0179_0, 55, 123, 124, 2, 12.622636795043945, 48, 108, 112
nw/xinhua/01/chtb_0179_0, 55, 123, 124, 3, 10.607243537902832, 16, 32, 43
nw/xinhua/01/chtb_0179_0, 55, 123, 124, 4, 5.074013710021973, 18, 37, 38
nw/xinhua/01/chtb_0179_0, 58, 133, 134, 1, 50.93294143676758, 55, 123, 124
nw/xinhua/01/chtb_0179_0, 58, 133, 134, 2, 42.78308868408203, 35, 79, 81
nw/xinhua/01/chtb_0179_0, 58, 133, 134, 3, 23.507286071777344, 48, 108, 112
nw/xinhua/01/chtb_0179_0, 58, 133, 134, 4, 22.84685516357422, 16, 32, 43
nw/xinhua/01/chtb_0179_0, 58, 133, 134, 5, 2.0746212005615234, 18, 37, 38
nw/xinhua/01/chtb_0179_0, 66, 156, 160, 1, 33.0433464050293, 44, 101, 105
nw/xinhua/01/chtb_0179_0, 66, 156, 160, 2, 4.461848258972168, 17, 33, 36
nw/xinhua/01/chtb_0179_0, 67, 162, 163, 1, 47.757144927978516, 51, 114, 115
nw/xinhua/01/chtb_0179_0, 82, 207, 208, 1, 51.8453369140625, 55, 123, 124
nw/xinhua/01/chtb_0179_0, 82, 207, 208, 2, 42.128910064697266, 58, 133, 134
nw/xinhua/01/chtb_0179_0, 82, 207, 208, 3, 33.96481704711914, 35, 79, 81
nw/xinhua/01/chtb_0179_0, 82, 207, 208, 4, 22.452491760253906, 16, 32, 43
nw/xinhua/01/chtb_0179_0, 82, 207, 208, 5, 17.984939575195312, 48, 108, 112
nw/xinhua/01/chtb_0179_0, 86, 215, 219, 1, 32.861881256103516, 66, 156, 160
nw/xinhua/01/chtb_0179_0, 86, 215, 219, 2, 28.18642807006836, 44, 101, 105
nw/xinhua/01/chtb_0179_0, 86, 215, 219, 3, 0.5305829048156738, 17, 33, 36
nw/xinhua/01/chtb_0179_0, 90, 227, 228, 1, 22.036222457885742, 13, 24, 24
nw/xinhua/01/chtb_0179_0, 90, 227, 228, 2, 15.170220375061035, 5, 7, 8
nw/xinhua/01/chtb_0179_0, 93, 233, 233, 1, 32.321510314941406, 79, 202, 204
nw/xinhua/01/chtb_0179_0, 106, 270, 270, 1, 24.026824951171875, 90, 227, 228
nw/xinhua/01/chtb_0179_0, 106, 270, 270, 2, 20.04805564880371, 13, 24, 24
nw/xinhua/01/chtb_0179_0, 106, 270, 270, 3, 18.13964080810547, 5, 7, 8
nw/xinhua/01/chtb_0179_0, 108, 276, 277, 1, 46.23494338989258, 58, 133, 134
nw/xinhua/01/chtb_0179_0, 108, 276, 277, 2, 35.62013244628906, 55, 123, 124
nw/xinhua/01/chtb_0179_0, 108, 276, 277, 3, 35.221012115478516, 82, 207, 208
nw/xinhua/01/chtb_0179_0, 108, 276, 277, 4, 32.22451400756836, 35, 79, 81
nw/xinhua/01/chtb_0179_0, 108, 276, 277, 5, 18.04084014892578, 16, 32, 43
nw/xinhua/01/chtb_0179_0, 109, 280, 284, 1, 30.959749221801758, 91, 227, 230
nw/xinhua/01/chtb_0179_0, 109, 280, 284, 2, 28.079055786132812, 92, 229, 230
nw/xinhua/01/chtb_0179_0, 110, 281, 282, 1, 28.234588623046875, 90, 227, 228
nw/xinhua/01/chtb_0179_0, 110, 281, 282, 2, 17.32585906982422, 13, 24, 24
nw/xinhua/01/chtb_0179_0, 110, 281, 282, 3, 12.383569717407227, 106, 270, 270
nw/xinhua/01/chtb_0179_0, 110, 281, 282, 4, 3.669957160949707, 5, 7, 8
nw/xinhua/01/chtb_0179_0, 115, 301, 301, 1, 69.96956634521484, 33, 75, 75
nw/xinhua/01/chtb_0179_0, 116, 303, 303, 1, 40.449302673339844, 103, 265, 273
nw/xinhua/01/chtb_0179_0, 119, 309, 320, 1, 44.091453552246094, 55, 123, 124
nw/xinhua/01/chtb_0179_0, 119, 309, 320, 2, 43.08197021484375, 82, 207, 208
nw/xinhua/01/chtb_0179_0, 119, 309, 320, 3, 41.706363677978516, 58, 133, 134
nw/xinhua/01/chtb_0179_0, 119, 309, 320, 4, 40.21643829345703, 108, 276, 277
nw/xinhua/01/chtb_0179_0, 119, 309, 320, 5, 35.88665008544922, 35, 79, 81
nw/xinhua/01/chtb_0179_0, 137, 350, 355, 1, 13.756125450134277, 55, 123, 124
nw/xinhua/01/chtb_0179_0, 137, 350, 355, 2, 7.580960750579834, 82, 207, 208
nw/xinhua/01/chtb_0179_0, 137, 350, 355, 3, 4.977746963500977, 58, 133, 134
nw/xinhua/01/chtb_0179_0, 137, 350, 355, 4, 3.31695556640625, 35, 79, 81
nw/xinhua/01/chtb_0179_0, 137, 350, 355, 5, 2.7503204345703125, 119, 309, 320
nw/xinhua/01/chtb_0179_0, 144, 361, 361, 1, 62.1059455871582, 50, 112, 112
nw/xinhua/01/chtb_0179_0, 144, 361, 361, 2, 59.96234130859375, 19, 39, 39
