doc_key,span_idx,span_start,span_end,antecedent_rank,antecedent_score,antecedent_idx,antecedent_start,antecedent_end
bn/abc/00/abc_0049_0,8,24,25,1,59.496559143066406,6,18,20
bn/abc/00/abc_0049_0,11,31,31,1,87.77162170410156,8,24,25
bn/abc/00/abc_0049_0,11,31,31,2,70.83463287353516,6,18,20
bn/abc/00/abc_0049_0,15,38,38,1,82.20170593261719,8,24,25
bn/abc/00/abc_0049_0,15,38,38,2,74.44355773925781,11,31,31
bn/abc/00/abc_0049_0,15,38,38,3,66.86860656738281,6,18,20
bn/abc/00/abc_0049_0,23,51,55,1,73.55976867675781,6,18,20
bn/abc/00/abc_0049_0,23,51,55,2,66.83958435058594,8,24,25
bn/abc/00/abc_0049_0,23,51,55,3,50.986366271972656,15,38,38
bn/abc/00/abc_0049_0,23,51,55,4,50.297523498535156,11,31,31
bn/abc/00/abc_0049_0,26,59,60,1,79.1546401977539,10,28,29
bn/abc/00/abc_0049_0,29,69,69,1,71.74626159667969,8,24,25
bn/abc/00/abc_0049_0,29,69,69,2,70.40220642089844,23,51,55
bn/abc/00/abc_0049_0,29,69,69,3,65.54122924804688,6,18,20
bn/abc/00/abc_0049_0,29,69,69,4,59.11996841430664,15,38,38
bn/abc/00/abc_0049_0,29,69,69,5,55.52168273925781,11,31,31
