k,eval_avg_p,eval_avg_r,eval_avg_f,conll_md_p,conll_md_r,conll_md_f,conll_muc_p,conll_muc_r,conll_muc_f,conll_bcub_p,conll_bcub_r,conll_bcub_f,conll_ceafe_p,conll_ceafe_r,conll_ceafe_f,conll_avg_f
1,93.29,79.81,86.01,100.0,87.29,93.21,96.81,85.77,90.96,92.48,78.56,84.95,90.56,75.06,82.08,85.9967
2,93.75,80.15,86.40,100.0,87.3,93.21,97.52,86.03,91.42,94.09,78.77,85.75,90.95,76.6,83.17,86.7800
3,94.08,80.41,86.70,100.0,87.35,93.24,97.94,86.18,91.68,95.09,78.93,86.26,91.16,77.66,83.87,87.2700
4,94.30,80.60,86.90,100.0,87.38,93.26,98.18,86.24,91.82,95.66,78.99,86.53,91.08,78.18,84.14,87.4967
5,94.45,80.73,87.04,100.0,87.38,93.26,98.29,86.28,91.89,95.66,79.04,86.55,91.15,78.42,84.31,87.5833
6,94.56,80.83,87.14,100.0,87.38,93.26,98.35,86.3,91.93,95.77,79.05,86.61,91.17,78.55,84.39,87.6433
7,94.64,80.90,87.22,100.0,87.39,93.27,98.39,86.29,91.94,95.93,78.94,86.61,91.13,78.72,84.47,87.6733
8,94.72,80.96,87.29,100.0,87.39,93.27,98.47,86.29,91.98,96.12,78.94,86.68,91.1,78.88,84.55,87.7367
9,94.77,81.01,87.34,100.0,87.42,93.28,98.48,86.3,91.99,96.16,78.86,86.65,91.01,78.92,84.53,87.7233
10,94.83,81.05,87.38,100.0,87.42,93.29,98.53,86.33,92.03,96.32,78.88,86.73,91.03,79.02,84.6,87.7867
11,94.87,81.08,87.42,100.0,87.43,93.29,98.55,86.33,92.04,96.37,78.88,86.75,91.03,79.06,84.63,87.8067
12,94.91,81.11,87.46,100.0,87.43,93.29,98.57,86.35,92.06,96.41,78.9,86.78,91.05,79.09,84.65,87.8300
13,94.95,81.14,87.49,100.0,87.44,93.3,98.57,86.35,92.06,96.41,78.88,86.77,91.02,79.09,84.64,87.8233
14,94.98,81.17,87.52,100.0,87.44,93.3,98.6,86.37,92.08,96.66,78.92,86.9,91.04,79.17,84.69,87.8900
15,95.01,81.19,87.54,100.0,87.44,93.3,98.6,86.37,92.08,96.66,78.92,86.89,91.04,79.17,84.69,87.8867
16,95.04,81.21,87.57,100.0,87.44,93.3,98.61,86.37,92.09,96.67,78.92,86.9,91.04,79.17,84.69,87.8933
17,95.06,81.23,87.59,100.0,87.44,93.3,98.61,86.37,92.09,96.67,78.92,86.9,91.04,79.17,84.69,87.8933
18,95.09,81.24,87.60,100.0,87.44,93.3,98.62,86.37,92.09,96.7,78.92,86.91,91.05,79.19,84.71,87.9033
19,95.11,81.26,87.62,100.0,87.45,93.3,98.62,86.37,92.09,96.71,78.92,86.91,91.03,79.2,84.71,87.9033
20,95.12,81.27,87.64,100.0,87.44,93.3,98.62,86.37,92.09,96.72,78.91,86.91,91.04,79.2,84.71,87.9033
21,95.14,81.28,87.65,100.0,87.44,93.3,98.62,86.37,92.09,96.72,78.91,86.91,91.04,79.2,84.71,87.9033
22,95.15,81.29,87.66,100.0,87.44,93.3,98.62,86.37,92.09,96.72,78.91,86.91,91.04,79.2,84.71,87.9033
23,95.17,81.30,87.67,100.0,87.44,93.3,98.62,86.37,92.09,96.72,78.91,86.91,91.04,79.2,84.71,87.9033
24,95.18,81.31,87.68,100.0,87.44,93.3,98.62,86.37,92.09,96.72,78.91,86.91,91.04,79.2,84.71,87.9033
25,95.19,81.32,87.69,100.0,87.44,93.3,98.62,86.37,92.09,96.72,78.91,86.91,91.04,79.2,84.71,87.9033
26,95.20,81.32,87.70,100.0,87.44,93.3,98.62,86.37,92.09,96.72,78.91,86.91,91.04,79.2,84.71,87.9033
27,95.21,81.33,87.71,100.0,87.44,93.3,98.62,86.37,92.09,96.58,78.91,86.86,91.03,79.19,84.7,87.8833
28,95.22,81.34,87.71,100.0,87.44,93.3,98.62,86.37,92.09,96.61,78.91,86.87,91.03,79.22,84.71,87.8900
